,801740,801020,801110,801160,801770,801010,801120,801750,801050,801890,801170,801710,801780,801130,801180,801760,801200,801230,801880,801140,801720,801080,801790,801030,801210,801150,801730,801040,801744,801742,801743,801741,801024,801023,801022,801021,801144,801112,801111,801724,801205,801204,801203,801202,801164,801162,801163,801161,801722,801723,801085,801016,801017,801014,801015,801012,801013,801011,801018,801123,801124,801751,801752,801053,801051,801054,801055,801174,801173,801178,801175,801177,801176,801171,801172,801094,801092,801093,801711,801713,801712,801041,801141,801131,801132,801181,801182,801223,801222,801761,801881,801231,801142,801143,801725,801721,801084,801081,801083,801082,801032,801033,801034,801035,801036,801037,801101,801102,801154,801733,801731,801193,801192,801191,801194,801211,801212,801213,801214,801215,801074,801075,801076,801072,801073,801156,801155,801153,801152,801151,801732,801734,851731,850231,851631,852121,850941,850936,850935,852151,851122,851121,851941,851641,850731,851013,851012,851541,851014,850542,850543,850541,850544,850373,852041,850161,850112,850344,850345,850341,850342,850343,851761,851931,857411,850335,851114,851115,851112,851113,851111,850741,850334,850131,851435,851434,851433,851432,851021,850823,850822,850121,850122,851236,851235,851234,851233,851232,851231,857231,857233,857232,857235,857234,851721,850222,850221,850381,850382,850383,852131,852221,852223,852222,850313,852224,850311,852226,857341,857343,857342,857344,850411,850412,850551,850553,850552,850616,850851,850852,850171,857243,850353,850352,850351,851615,850181,850911,850141,850913,850912,851531,851921,850324,850322,850323,850321,852311,857421,850751,851512,850521,850522,850523,857331,857332,857333,857334,857335,857336,850811,851325,851324,851327,851326,851323,851322,851242,851243,851241,851244,850623,851711,857241,850339,857242,850338,850812,850813,857244,851811,852031,852032,852033,850713,850712,850711,850241,850716,850361,851611,850715,851911,850242,851613,850362,851612,850363,851614,851781,851751,850211,857251,851741,851621,850614,850615,850612,850611,851821,850921,852141,851521,850336,850331,850333,850332,857431,852244,852243,852242,852241,851441,850728,850729,850722,850723,850721,850726,850727,850724,850725,851411,857323,857322,857321,851551,850531,851311,851312,851313,851314,851315,851316,851561,850337,858811,852052,852051,850154,850151,850152,852021,852211,850372,851771,852112,852111,851421,850714,852225,851511,850111,850113,850832,850833,850831,850841,857221
0,600435.XSHG,601808.XSHG,002242.XSHE,000695.XSHE,600498.XSHG,002477.XSHE,002330.XSHE,300645.XSHE,000060.XSHE,002530.XSHE,603066.XSHG,000012.XSHE,601009.XSHG,002098.XSHE,000534.XSHE,300113.XSHE,002251.XSHE,000638.XSHE,002328.XSHE,002585.XSHE,002856.XSHE,300625.XSHE,300023.XSHE,000554.XSHE,600593.XSHG,603079.XSHG,601218.XSHG,002756.XSHE,300600.XSHE,300581.XSHE,600967.XSHG,600343.XSHG,300191.XSHE,600759.XSHG,603505.XSHG,601918.XSHG,002751.XSHE,000016.XSHE,002242.XSHE,002135.XSHE,600415.XSHG,600122.XSHG,600306.XSHG,000626.XSHE,000544.XSHE,603603.XSHG,600635.XSHG,600025.XSHG,002856.XSHE,603018.XSHG,300227.XSHE,601118.XSHG,300498.XSHE,002385.XSHE,002086.XSHE,002286.XSHE,600313.XSHG,002679.XSHE,600195.XSHG,600779.XSHG,002330.XSHE,002143.XSHE,600892.XSHG,600547.XSHG,300706.XSHE,600392.XSHG,603527.XSHG,600009.XSHG,600221.XSHG,603066.XSHG,600269.XSHG,601006.XSHG,600692.XSHG,000905.XSHE,600611.XSHG,000951.XSHE,002607.XSHE,002328.XSHE,600802.XSHG,002596.XSHE,000012.XSHE,002756.XSHE,002846.XSHE,002098.XSHE,002569.XSHE,000534.XSHE,600895.XSHG,300571.XSHE,300645.XSHE,600136.XSHG,603787.XSHG,000638.XSHE,002572.XSHE,603165.XSHG,300237.XSHE,300668.XSHE,600666.XSHG,300077.XSHE,603328.XSHG,002141.XSHE,002206.XSHE,600367.XSHG,002591.XSHE,000554.XSHE,300325.XSHE,002381.XSHE,002376.XSHE,600498.XSHG,000705.XSHE,300011.XSHE,002196.XSHE,601099.XSHG,601009.XSHG,300023.XSHE,601628.XSHG,000721.XSHE,300144.XSHE,600258.XSHG,002059.XSHE,300662.XSHE,002837.XSHE,600992.XSHG,603111.XSHG,002530.XSHE,002338.XSHE,603108.XSHG,603858.XSHG,300206.XSHE,300685.XSHE,603079.XSHG,002339.XSHE,300444.XSHE,600269.XSHG,603505.XSHG,600635.XSHG,600258.XSHG,002607.XSHE,603111.XSHG,300600.XSHE,300662.XSHE,002519.XSHE,000016.XSHE,601628.XSHG,603603.XSHG,002338.XSHE,600498.XSHG,300711.XSHE,000705.XSHE,300603.XSHE,002842.XSHE,002466.XSHE,600392.XSHG,000960.XSHE,300196.XSHE,600122.XSHG,600313.XSHG,300143.XSHE,601113.XSHG,000584.XSHE,000703.XSHE,600063.XSHG,002172.XSHE,600692.XSHG,601099.XSHG,600343.XSHG,300409.XSHE,002242.XSHE,002860.XSHE,000651.XSHE,000418.XSHE,000521.XSHE,002196.XSHE,000523.XSHE,002679.XSHE,002575.XSHE,002740.XSHE,002798.XSHE,002572.XSHE,002376.XSHE,600237.XSHG,603328.XSHG,600097.XSHG,002086.XSHE,600616.XSHG,600365.XSHG,600300.XSHG,002568.XSHE,000752.XSHE,000799.XSHE,002062.XSHE,002586.XSHE,603018.XSHG,600133.XSHG,601186.XSHG,600611.XSHG,600740.XSHG,601918.XSHG,002539.XSHE,002915.XSHE,600141.XSHG,002059.XSHE,300431.XSHE,300467.XSHE,600892.XSHG,000554.XSHE,600936.XSHG,600028.XSHG,300645.XSHE,600312.XSHG,601877.XSHG,002622.XSHE,603618.XSHG,000959.XSHE,000708.XSHE,002501.XSHE,000426.XSHE,603527.XSHG,002372.XSHE,002351.XSHE,300227.XSHE,300498.XSHE,002051.XSHE,300644.XSHE,300321.XSHE,300325.XSHE,601619.XSHG,600195.XSHG,000927.XSHE,002385.XSHE,000868.XSHE,600006.XSHG,300685.XSHE,300023.XSHE,002648.XSHE,600618.XSHG,300285.XSHE,000683.XSHE,000638.XSHE,300581.XSHE,600992.XSHG,300584.XSHE,002149.XSHE,300224.XSHE,603260.XSHG,601727.XSHG,601218.XSHG,002129.XSHE,002665.XSHE,002364.XSHE,002534.XSHE,300077.XSHE,603001.XSHG,603555.XSHG,002634.XSHE,002397.XSHE,603839.XSHG,002569.XSHE,600872.XSHG,600887.XSHG,002330.XSHE,002847.XSHE,300668.XSHE,000905.XSHE,002659.XSHE,002591.XSHE,603698.XSHG,300067.XSHE,300373.XSHE,002119.XSHE,002178.XSHE,000534.XSHE,600306.XSHG,002251.XSHE,000419.XSHE,002282.XSHE,300260.XSHE,603088.XSHG,300191.XSHE,002530.XSHE,600469.XSHG,600795.XSHG,300435.XSHE,601009.XSHG,603979.XSHG,000037.XSHE,002381.XSHE,600025.XSHG,002442.XSHE,000695.XSHE,603066.XSHG,600009.XSHG,600759.XSHG,300237.XSHE,600221.XSHG,000544.XSHE,002596.XSHE,002225.XSHE,600802.XSHG,000012.XSHE,600895.XSHG,002328.XSHE,000721.XSHE,603858.XSHG,000792.XSHE,600691.XSHG,300261.XSHE,600470.XSHG,600967.XSHG,002858.XSHE,002143.XSHE,600136.XSHG,601098.XSHG,002751.XSHE,002435.XSHE,300385.XSHE,600984.XSHG,002890.XSHE,300307.XSHE,300521.XSHE,002837.XSHE,603966.XSHG,603012.XSHG,603165.XSHG,603100.XSHG,300208.XSHE,300667.XSHE,300206.XSHE,600547.XSHG,601599.XSHG,002083.XSHE,002404.XSHE,600987.XSHG,603477.XSHG,600626.XSHG,603108.XSHG,002226.XSHE,603787.XSHG,600415.XSHG,000882.XSHE,002286.XSHE,600962.XSHG,002852.XSHE,000626.XSHE,300571.XSHE,002165.XSHE,601006.XSHG,603136.XSHG,300144.XSHE,002846.XSHE,600841.XSHG,300253.XSHE,603079.XSHG,300087.XSHE,601118.XSHG,603685.XSHG,600071.XSHG,600666.XSHG,002141.XSHE,002856.XSHE
1,300159.XSHE,601918.XSHG,002860.XSHE,000791.XSHE,002104.XSHE,000639.XSHE,000568.XSHE,300253.XSHE,300618.XSHE,300114.XSHE,600834.XSHG,002596.XSHE,601398.XSHG,300591.XSHE,600208.XSHG,603721.XSHG,600655.XSHG,000711.XSHE,300643.XSHE,000663.XSHE,300592.XSHE,600478.XSHG,601099.XSHG,002256.XSHE,002707.XSHE,600587.XSHG,002074.XSHE,000825.XSHE,002608.XSHE,300696.XSHE,600184.XSHG,300101.XSHE,601808.XSHG,600777.XSHG,600532.XSHG,600403.XSHG,,002420.XSHE,002860.XSHE,002051.XSHE,002818.XSHE,600655.XSHG,600697.XSHG,600287.XSHG,601158.XSHG,300263.XSHE,600617.XSHG,600795.XSHG,300592.XSHE,600820.XSHG,002782.XSHE,600540.XSHG,002299.XSHE,300673.XSHE,002696.XSHE,002852.XSHE,300021.XSHE,600189.XSHG,002868.XSHE,000568.XSHE,600429.XSHG,002400.XSHE,002261.XSHE,601899.XSHG,600980.XSHG,300618.XSHE,000426.XSHE,600004.XSHG,601021.XSHG,600179.XSHG,000886.XSHE,600125.XSHG,600798.XSHG,601008.XSHG,600561.XSHG,600213.XSHG,600327.XSHG,300643.XSHE,000789.XSHE,002302.XSHE,600586.XSHG,000825.XSHE,002303.XSHE,601599.XSHG,603365.XSHG,600208.XSHG,600663.XSHG,002467.XSHE,300253.XSHE,603103.XSHG,600679.XSHG,000711.XSHE,002798.XSHE,002511.XSHE,300355.XSHE,600939.XSHG,603685.XSHG,002156.XSHE,300460.XSHE,300390.XSHE,002493.XSHE,600277.XSHG,002256.XSHE,600028.XSHG,002395.XSHE,300320.XSHE,603516.XSHG,002104.XSHE,600833.XSHG,601218.XSHG,002801.XSHE,600837.XSHG,601398.XSHG,600816.XSHG,601336.XSHG,002186.XSHE,603136.XSHG,000613.XSHE,600138.XSHG,,002353.XSHE,002150.XSHE,603680.XSHG,300260.XSHE,300114.XSHE,002173.XSHE,002166.XSHE,600587.XSHG,300009.XSHE,300584.XSHE,002546.XSHE,002112.XSHE,000886.XSHE,600532.XSHG,600617.XSHG,000613.XSHE,600327.XSHG,603680.XSHG,002608.XSHE,,002052.XSHE,002420.XSHE,601336.XSHG,300263.XSHE,300114.XSHE,600522.XSHG,002104.XSHE,600833.XSHG,300383.XSHE,002378.XSHE,002460.XSHE,600111.XSHG,600456.XSHG,002201.XSHE,600655.XSHG,300021.XSHE,002772.XSHE,603055.XSHG,002254.XSHE,002206.XSHE,,600889.XSHG,600798.XSHG,600837.XSHG,300101.XSHE,002256.XSHE,603868.XSHG,300160.XSHE,300249.XSHE,600983.XSHG,600336.XSHG,002801.XSHE,300740.XSHE,600189.XSHG,002862.XSHE,600612.XSHG,300061.XSHE,300729.XSHE,603516.XSHG,603738.XSHG,002618.XSHE,000798.XSHE,002696.XSHE,601579.XSHG,000869.XSHE,603031.XSHG,002646.XSHE,002461.XSHE,600779.XSHG,600820.XSHG,002060.XSHE,600326.XSHG,002116.XSHE,601390.XSHG,600561.XSHG,000723.XSHE,600403.XSHG,000902.XSHE,600160.XSHG,600078.XSHG,600138.XSHG,300104.XSHE,,002261.XSHE,600387.XSHG,600996.XSHG,000059.XSHE,300167.XSHE,600089.XSHG,002927.XSHE,300444.XSHE,603333.XSHG,000898.XSHE,600507.XSHG,601677.XSHG,000758.XSHE,000813.XSHE,002457.XSHE,002888.XSHE,002782.XSHE,002299.XSHE,600970.XSHG,300716.XSHE,300180.XSHE,002395.XSHE,600163.XSHG,002868.XSHE,601777.XSHG,300673.XSHE,600066.XSHG,000951.XSHE,300009.XSHE,600816.XSHG,000545.XSHE,000510.XSHE,600367.XSHG,000822.XSHE,000711.XSHE,300696.XSHE,002150.XSHE,600380.XSHG,600614.XSHG,600980.XSHG,300666.XSHE,600875.XSHG,600290.XSHG,002506.XSHE,002630.XSHE,300141.XSHE,002851.XSHE,002156.XSHE,603557.XSHG,002563.XSHE,002832.XSHE,603365.XSHG,002612.XSHE,002154.XSHE,603027.XSHG,002329.XSHE,002695.XSHE,603536.XSHG,600939.XSHG,601008.XSHG,002135.XSHE,300596.XSHE,600248.XSHG,300535.XSHE,600360.XSHG,002371.XSHE,002542.XSHE,600208.XSHG,000516.XSHE,601116.XSHG,600697.XSHG,300345.XSHE,300095.XSHE,000837.XSHE,601808.XSHG,002598.XSHE,601500.XSHG,600578.XSHG,002639.XSHE,601398.XSHG,002738.XSHE,,002224.XSHE,600310.XSHG,002068.XSHE,600719.XSHG,600179.XSHG,600004.XSHG,600777.XSHG,300355.XSHE,601021.XSHG,601158.XSHG,002302.XSHE,002066.XSHE,000789.XSHE,600586.XSHG,600663.XSHG,300643.XSHE,002186.XSHE,002166.XSHE,,002556.XSHE,603599.XSHG,600727.XSHG,600184.XSHG,600158.XSHG,002400.XSHE,603103.XSHG,601019.XSHG,,002774.XSHE,600388.XSHG,600375.XSHG,603789.XSHG,002021.XSHE,000821.XSHE,300471.XSHE,002483.XSHE,300480.XSHE,002511.XSHE,002058.XSHE,002184.XSHE,600525.XSHG,600587.XSHG,601899.XSHG,600220.XSHG,000726.XSHE,600232.XSHG,600448.XSHG,002098.XSHE,002144.XSHE,002173.XSHE,002497.XSHE,600679.XSHG,002818.XSHE,000861.XSHE,000930.XSHE,300175.XSHE,600127.XSHG,600287.XSHG,002467.XSHE,603041.XSHG,600125.XSHG,000888.XSHE,000863.XSHE,002303.XSHE,600218.XSHG,002253.XSHE,002020.XSHE,600371.XSHG,600540.XSHG,002745.XSHE,002189.XSHE,000413.XSHE,300390.XSHE,300592.XSHE
2,000519.XSHE,600403.XSHG,300272.XSHE,002672.XSHE,002467.XSHE,600189.XSHG,600429.XSHG,300167.XSHE,002379.XSHE,002837.XSHE,600017.XSHG,002302.XSHE,601128.XSHG,002029.XSHE,000056.XSHE,300051.XSHE,601116.XSHG,600770.XSHG,600960.XSHG,603008.XSHG,600477.XSHG,000049.XSHE,601336.XSHG,002395.XSHE,000610.XSHE,300584.XSHE,300274.XSHE,000959.XSHE,601890.XSHG,002023.XSHE,600990.XSHG,300456.XSHE,603979.XSHG,601857.XSHG,601969.XSHG,600971.XSHG,,000100.XSHE,300272.XSHE,600667.XSHG,600738.XSHG,300022.XSHE,002251.XSHE,000408.XSHE,300664.XSHE,300055.XSHE,600917.XSHG,600995.XSHG,002789.XSHE,600528.XSHG,002547.XSHE,300087.XSHE,002746.XSHE,002548.XSHE,002447.XSHE,300175.XSHE,,000592.XSHE,002688.XSHE,603156.XSHG,600882.XSHG,300242.XSHE,002354.XSHE,600489.XSHG,600330.XSHG,002716.XSHE,600673.XSHG,000089.XSHE,600029.XSHG,002711.XSHE,000429.XSHE,601333.XSHG,000520.XSHE,002040.XSHE,600650.XSHG,600418.XSHG,601965.XSHG,600960.XSHG,000877.XSHE,002694.XSHE,300093.XSHE,000959.XSHE,002752.XSHE,600156.XSHG,603877.XSHG,000056.XSHE,600215.XSHG,300578.XSHE,300167.XSHE,603721.XSHG,603766.XSHG,600770.XSHG,600978.XSHG,002521.XSHE,300495.XSHE,601668.XSHG,000413.XSHE,300623.XSHE,002618.XSHE,300410.XSHE,601113.XSHG,002053.XSHE,002539.XSHE,000059.XSHE,300644.XSHE,300121.XSHE,300177.XSHE,300353.XSHE,600090.XSHG,600482.XSHG,002892.XSHE,002673.XSHE,601128.XSHG,603300.XSHG,601601.XSHG,,603099.XSHG,000610.XSHE,002159.XSHE,,300276.XSHE,603969.XSHG,000008.XSHE,300095.XSHE,603556.XSHG,603259.XSHG,600594.XSHG,300358.XSHE,300142.XSHE,603520.XSHG,300048.XSHE,600550.XSHG,000429.XSHE,601969.XSHG,600917.XSHG,000610.XSHE,601965.XSHG,000008.XSHE,601890.XSHG,,002848.XSHE,000100.XSHE,601601.XSHG,300055.XSHE,603556.XSHG,300628.XSHE,000687.XSHE,600090.XSHG,300310.XSHE,600549.XSHG,,000831.XSHE,603799.XSHG,600176.XSHG,300022.XSHE,,601952.XSHG,600810.XSHG,002064.XSHE,002493.XSHE,,000949.XSHE,000520.XSHE,002673.XSHE,300456.XSHE,300537.XSHE,002035.XSHE,300475.XSHE,000333.XSHE,,000921.XSHE,002892.XSHE,600315.XSHG,000592.XSHE,002678.XSHE,002356.XSHE,600135.XSHG,600978.XSHG,300177.XSHE,002138.XSHE,600183.XSHG,,002447.XSHE,600059.XSHG,600543.XSHG,000848.XSHE,,000929.XSHE,603919.XSHG,,601669.XSHG,603909.XSHG,600545.XSHG,600528.XSHG,600650.XSHG,600792.XSHG,600971.XSHG,002538.XSHE,002326.XSHE,300505.XSHE,002159.XSHE,002315.XSHE,,002354.XSHE,603003.XSHG,600959.XSHG,000637.XSHE,600728.XSHG,600550.XSHG,300283.XSHE,300423.XSHE,002471.XSHE,002110.XSHE,002756.XSHE,600673.XSHG,000688.XSHE,002295.XSHE,002694.XSHE,002236.XSHE,002547.XSHE,002746.XSHE,000065.XSHE,002886.XSHE,300218.XSHE,300717.XSHE,000862.XSHE,002688.XSHE,000572.XSHE,002548.XSHE,600213.XSHG,000550.XSHE,300142.XSHE,603300.XSHG,600722.XSHG,600277.XSHG,002125.XSHE,600409.XSHG,600770.XSHG,002023.XSHE,603969.XSHG,603676.XSHG,002182.XSHE,002600.XSHE,603612.XSHG,,300569.XSHE,000591.XSHE,300105.XSHE,300153.XSHE,002255.XSHE,300139.XSHE,603608.XSHG,603877.XSHG,603908.XSHG,002327.XSHE,603518.XSHG,601566.XSHG,600866.XSHG,600429.XSHG,000895.XSHE,002820.XSHE,601668.XSHG,002040.XSHE,002545.XSHE,600844.XSHG,603637.XSHG,603980.XSHG,300623.XSHE,,300635.XSHE,000056.XSHE,600712.XSHG,603708.XSHG,300413.XSHE,002760.XSHE,000777.XSHE,002559.XSHE,600339.XSHG,601369.XSHG,000589.XSHE,601991.XSHG,000530.XSHE,601128.XSHG,,,300320.XSHE,600995.XSHG,002753.XSHE,600167.XSHG,002711.XSHE,000089.XSHE,601857.XSHG,300495.XSHE,600029.XSHG,300664.XSHE,000509.XSHE,002088.XSHE,000877.XSHE,300093.XSHE,600215.XSHG,600960.XSHG,,600594.XSHG,,000830.XSHE,600596.XSHG,600096.XSHG,600990.XSHG,,300242.XSHE,603721.XSHG,002181.XSHE,,300669.XSHE,603311.XSHG,002459.XSHE,601038.XSHG,002722.XSHE,300512.XSHE,300549.XSHE,601608.XSHG,002526.XSHE,002521.XSHE,002546.XSHE,300484.XSHE,002339.XSHE,300358.XSHE,600489.XSHG,000779.XSHE,002087.XSHE,,002034.XSHE,002674.XSHE,603238.XSHG,603259.XSHG,002917.XSHE,603766.XSHG,600738.XSHG,,600873.XSHG,600251.XSHG,000639.XSHE,000408.XSHE,300578.XSHE,002061.XSHE,601333.XSHG,603099.XSHG,600593.XSHG,002752.XSHE,000880.XSHE,601360.XSHG,600488.XSHG,300189.XSHE,600108.XSHG,300625.XSHE,300691.XSHE,000727.XSHE,300410.XSHE,002789.XSHE
3,300123.XSHE,603505.XSHG,000100.XSHE,000722.XSHE,300353.XSHE,000702.XSHE,000860.XSHE,000021.XSHE,600768.XSHG,300260.XSHE,603885.XSHG,002694.XSHE,601997.XSHG,002144.XSHE,600708.XSHG,600088.XSHG,603101.XSHG,600603.XSHG,603766.XSHG,300329.XSHE,002047.XSHE,300389.XSHE,600643.XSHG,002591.XSHE,601888.XSHG,300653.XSHE,002358.XSHE,000898.XSHE,300123.XSHE,600372.XSHG,600435.XSHG,600879.XSHG,600339.XSHG,,000762.XSHE,000723.XSHE,,002519.XSHE,603519.XSHG,603929.XSHG,000882.XSHE,600898.XSHG,300413.XSHE,600857.XSHG,600283.XSHG,300070.XSHE,000407.XSHE,000695.XSHE,601886.XSHG,601186.XSHG,002055.XSHE,600108.XSHG,300106.XSHE,000048.XSHE,002069.XSHE,000930.XSHE,,,603566.XSHG,002568.XSHE,002847.XSHE,600986.XSHG,300104.XSHE,600766.XSHG,000795.XSHE,000657.XSHE,000758.XSHE,600897.XSHG,002928.XSHE,600180.XSHG,600035.XSHG,,600026.XSHG,600317.XSHG,600834.XSHG,600006.XSHG,600335.XSHG,603286.XSHG,000885.XSHE,603856.XSHG,600819.XSHG,000898.XSHE,002585.XSHE,603477.XSHG,002327.XSHE,600708.XSHG,600604.XSHG,000889.XSHE,600728.XSHG,600088.XSHG,000913.XSHE,600603.XSHG,300729.XSHE,600069.XSHG,002887.XSHE,300500.XSHE,002745.XSHE,300139.XSHE,300726.XSHE,300014.XSHE,000949.XSHE,000635.XSHE,603599.XSHG,000637.XSHE,002324.XSHE,002224.XSHE,000021.XSHE,603042.XSHG,000078.XSHE,600290.XSHG,300308.XSHE,002670.XSHE,601997.XSHG,600783.XSHG,000627.XSHE,,000888.XSHE,000524.XSHE,002707.XSHE,,300103.XSHE,600558.XSHG,000976.XSHE,002871.XSHE,002658.XSHE,000503.XSHE,002750.XSHE,002432.XSHE,300653.XSHE,002422.XSHE,002322.XSHE,002074.XSHE,600035.XSHG,000762.XSHE,000407.XSHE,000524.XSHE,600335.XSHG,000976.XSHE,300123.XSHE,,000801.XSHE,600060.XSHG,000627.XSHE,300070.XSHE,002658.XSHE,300698.XSHE,600293.XSHG,000078.XSHE,603042.XSHG,000657.XSHE,,600259.XSHG,600459.XSHG,002080.XSHE,600898.XSHG,,600598.XSHG,000782.XSHE,,603225.XSHG,,000420.XSHE,600026.XSHG,002670.XSHE,600879.XSHG,603110.XSHG,300272.XSHE,002418.XSHE,600854.XSHG,,002668.XSHE,300308.XSHE,600249.XSHG,,002301.XSHE,002731.XSHE,002790.XSHE,603898.XSHG,000021.XSHE,300408.XSHE,603228.XSHG,,002069.XSHE,,000557.XSHE,000019.XSHE,,600132.XSHG,600702.XSHG,,600502.XSHG,601800.XSHG,300712.XSHE,,600834.XSHG,601011.XSHG,000983.XSHE,002470.XSHE,002407.XSHE,002895.XSHE,002707.XSHE,300059.XSHE,,002619.XSHE,000159.XSHE,000665.XSHE,000819.XSHE,300324.XSHE,300140.XSHE,600885.XSHG,002350.XSHE,300265.XSHE,600231.XSHG,000825.XSHE,603876.XSHG,000060.XSHE,000878.XSHE,603856.XSHG,002655.XSHE,002055.XSHE,300106.XSHE,000928.XSHE,002324.XSHE,,000859.XSHE,000690.XSHE,603566.XSHG,601238.XSHG,000048.XSHE,000957.XSHE,600166.XSHG,300653.XSHE,600783.XSHG,300522.XSHE,002053.XSHE,600714.XSHG,603077.XSHG,600603.XSHG,600372.XSHG,600558.XSHG,000915.XSHE,000633.XSHE,600330.XSHG,002130.XSHE,,002531.XSHE,002610.XSHE,,300068.XSHE,600475.XSHG,002185.XSHE,603958.XSHG,002503.XSHE,002763.XSHE,002293.XSHE,600146.XSHG,002656.XSHE,603288.XSHG,600597.XSHG,002515.XSHE,603517.XSHG,300500.XSHE,600317.XSHG,002743.XSHE,300487.XSHE,002469.XSHE,002440.XSHE,300046.XSHE,,000055.XSHE,600708.XSHG,600280.XSHG,600361.XSHG,600858.XSHG,300629.XSHE,002347.XSHE,300280.XSHE,603619.XSHG,300024.XSHE,000599.XSHE,000027.XSHE,603339.XSHG,601997.XSHG,,,300121.XSHE,000883.XSHE,,600982.XSHG,600180.XSHG,600897.XSHG,,002887.XSHE,002928.XSHE,600283.XSHG,300715.XSHE,300344.XSHE,000885.XSHE,600819.XSHG,600604.XSHG,603286.XSHG,,002750.XSHE,,000731.XSHE,600500.XSHG,,600435.XSHG,,600986.XSHG,600088.XSHG,601900.XSHG,,600835.XSHG,000551.XSHE,603611.XSHG,,600302.XSHG,600860.XSHG,002031.XSHE,002523.XSHE,002353.XSHE,600069.XSHG,601222.XSHG,300681.XSHE,600268.XSHG,002432.XSHE,600766.XSHG,002193.XSHE,000850.XSHE,,600370.XSHG,002003.XSHE,600156.XSHG,000503.XSHE,002246.XSHE,000913.XSHE,601828.XSHG,,300138.XSHE,,,600857.XSHG,000889.XSHE,603026.XSHG,,603199.XSHG,,002585.XSHE,300391.XSHE,002869.XSHE,603520.XSHG,000713.XSHE,600506.XSHG,603515.XSHG,300701.XSHE,300128.XSHE,300014.XSHE,601886.XSHG
