,000300.XSHG,000001.XSHG,399001.XSHE,399006.XSHE,399018.XSHE
75,000938.XSHE,600428.XSHG,000766.XSHE,300699.XSHE,300496.XSHE
76,000723.XSHE,600419.XSHG,000937.XSHE,300458.XSHE,300216.XSHE
77,300070.XSHE,603528.XSHG,002252.XSHE,300085.XSHE,300458.XSHE
78,600705.XSHG,600547.XSHG,000869.XSHE,300058.XSHE,300085.XSHE
79,002153.XSHE,603679.XSHG,000066.XSHE,300077.XSHE,300358.XSHE
80,600030.XSHG,600329.XSHG,000090.XSHE,300628.XSHE,300009.XSHE
81,600309.XSHG,603996.XSHG,002739.XSHE,300009.XSHE,300024.XSHE
82,601216.XSHG,603360.XSHG,002092.XSHE,300310.XSHE,300002.XSHE
83,600588.XSHG,600054.XSHG,000333.XSHE,300024.XSHE,300339.XSHE
84,002831.XSHE,601016.XSHG,300115.XSHE,300002.XSHE,300370.XSHE
85,600893.XSHG,603579.XSHG,000539.XSHE,300133.XSHE,300552.XSHE
86,601211.XSHG,600170.XSHG,000006.XSHE,300068.XSHE,300078.XSHE
87,002304.XSHE,600717.XSHG,300266.XSHE,300078.XSHE,300368.XSHE
88,000069.XSHE,603006.XSHG,300001.XSHE,300170.XSHE,300327.XSHE
89,000002.XSHE,600884.XSHG,000039.XSHE,300146.XSHE,300170.XSHE
90,002294.XSHE,600692.XSHG,000830.XSHE,300408.XSHE,300396.XSHE
91,002594.XSHE,600633.XSHG,000600.XSHE,300020.XSHE,300316.XSHE
92,002602.XSHE,603690.XSHG,000513.XSHE,300316.XSHE,300018.XSHE
93,600271.XSHG,600605.XSHG,002241.XSHE,300285.XSHE,300447.XSHE
94,600895.XSHG,603656.XSHG,000776.XSHE,300059.XSHE,300287.XSHE
95,002385.XSHE,600331.XSHG,000401.XSHE,300122.XSHE,300124.XSHE
96,600016.XSHG,600008.XSHG,300458.XSHE,300083.XSHE,300232.XSHE
97,600023.XSHG,600138.XSHG,300058.XSHE,300124.XSHE,300036.XSHE
98,600015.XSHG,601390.XSHG,000612.XSHE,300287.XSHE,300292.XSHE
99,601857.XSHG,600155.XSHG,002261.XSHE,300251.XSHE,300183.XSHE
100,600066.XSHG,600643.XSHG,002303.XSHE,,
101,601333.XSHG,600822.XSHG,000558.XSHE,,
102,600036.XSHG,600679.XSHG,000825.XSHE,,
103,601618.XSHG,601952.XSHG,000413.XSHE,,
104,601018.XSHG,601933.XSHG,002195.XSHE,,
105,601669.XSHG,603336.XSHG,002055.XSHE,,
106,601228.XSHG,603080.XSHG,000999.XSHE,,
107,600196.XSHG,601111.XSHG,000587.XSHE,,
108,002460.XSHE,603045.XSHG,002400.XSHE,,
109,601933.XSHG,603728.XSHG,002421.XSHE,,
110,002555.XSHE,600019.XSHG,002411.XSHE,,
111,600021.XSHG,603637.XSHG,002642.XSHE,,
112,000792.XSHE,600100.XSHG,000592.XSHE,,
113,600674.XSHG,600438.XSHG,000969.XSHE,,
114,601985.XSHG,600748.XSHG,002129.XSHE,,
115,600352.XSHG,600552.XSHG,002230.XSHE,,
116,600038.XSHG,600716.XSHG,300291.XSHE,,
117,300015.XSHE,600787.XSHG,002044.XSHE,,
118,002465.XSHE,600033.XSHG,000778.XSHE,,
119,600649.XSHG,603085.XSHG,002470.XSHE,,
120,000895.XSHE,603167.XSHG,000717.XSHE,,
121,002065.XSHE,600376.XSHG,000732.XSHE,,
122,002841.XSHE,603058.XSHG,000930.XSHE,,
123,300072.XSHE,600467.XSHG,002695.XSHE,,
124,000166.XSHE,601968.XSHG,002371.XSHE,,
125,601111.XSHG,600050.XSHG,002489.XSHE,,
126,000627.XSHE,603258.XSHG,002085.XSHE,,
127,002797.XSHE,600161.XSHG,000617.XSHE,,
128,601155.XSHG,600152.XSHG,300251.XSHE,,
129,601229.XSHG,603787.XSHG,002244.XSHE,,
130,601718.XSHG,600156.XSHG,000568.XSHE,,
131,002466.XSHE,603536.XSHG,002074.XSHE,,
132,002415.XSHE,603869.XSHG,000959.XSHE,,
133,600019.XSHG,600686.XSHG,000060.XSHE,,
134,601611.XSHG,601019.XSHG,300113.XSHE,,
135,600028.XSHG,603778.XSHG,000898.XSHE,,
136,002426.XSHE,600992.XSHG,300618.XSHE,,
137,600340.XSHG,603200.XSHG,000049.XSHE,,
138,002292.XSHE,603177.XSHG,000680.XSHE,,
139,002146.XSHE,600742.XSHG,002491.XSHE,,
140,002500.XSHE,600636.XSHG,300367.XSHE,,
141,002202.XSHE,601881.XSHG,002508.XSHE,,
142,601818.XSHG,600355.XSHG,000960.XSHE,,
143,002601.XSHE,603659.XSHG,000980.XSHE,,
144,600100.XSHG,600580.XSHG,002311.XSHE,,
145,601166.XSHG,600172.XSHG,002176.XSHE,,
146,002736.XSHE,600721.XSHG,300506.XSHE,,
147,601318.XSHG,601006.XSHG,000507.XSHE,,
148,600518.XSHG,603678.XSHG,000686.XSHE,,
149,002475.XSHE,600505.XSHG,002340.XSHE,,
150,600011.XSHG,600279.XSHG,002383.XSHE,,
151,600383.XSHG,600567.XSHG,000703.XSHE,,
152,601988.XSHG,601766.XSHG,300498.XSHE,,
153,000425.XSHE,600403.XSHG,000063.XSHE,,
154,002714.XSHE,600088.XSHG,002468.XSHE,,
155,000709.XSHE,601020.XSHG,002027.XSHE,,
156,600637.XSHG,600189.XSHG,002558.XSHE,,
157,600741.XSHG,600823.XSHG,000799.XSHE,,
158,601009.XSHG,600190.XSHG,000426.XSHE,,
159,601398.XSHG,601225.XSHG,000671.XSHE,,
160,600482.XSHG,603600.XSHG,000687.XSHE,,
161,002673.XSHE,603499.XSHG,000723.XSHE,,
162,000540.XSHE,603829.XSHG,002773.XSHE,,
163,000738.XSHE,603113.XSHG,000926.XSHE,,
164,001979.XSHE,601588.XSHG,002709.XSHE,,
165,000963.XSHE,603860.XSHG,002304.XSHE,,
166,601600.XSHG,600763.XSHG,000061.XSHE,,
167,002456.XSHE,603685.XSHG,000807.XSHE,,
168,000423.XSHE,603018.XSHG,300463.XSHE,,
169,000768.XSHE,603619.XSHG,300222.XSHE,,
170,002352.XSHE,603103.XSHG,002089.XSHE,,
171,601375.XSHG,603680.XSHG,002460.XSHE,,
172,600816.XSHG,600252.XSHG,000667.XSHE,,
173,002252.XSHE,601139.XSHG,300304.XSHE,,
174,600085.XSHG,600271.XSHG,002664.XSHE,,
175,600887.XSHG,603458.XSHG,300474.XSHE,,
176,601877.XSHG,603661.XSHG,002280.XSHE,,
177,002081.XSHE,600873.XSHG,000627.XSHE,,
