801740,801110,801160,801770,801010,801120,801750,801050,801890,801950,801980,801970,801170,801710,801780,801960,801130,801180,801760,801200,801230,801880,801140,801720,801080,801790,801030,801210,801150,801730,801040,801993,801744,801745,801742,801743,801741,801145,801994,801113,801112,801111,801117,801116,801115,801114,801724,801207,801206,801204,801203,801202,801078,801163,801161,801722,801723,801085,801016,801017,801014,801015,801012,801011,801018,801019,801126,801127,801124,801125,801128,801129,801053,801051,801056,801054,801055,801972,801952,801951,801981,801983,801179,801178,801982,801096,801095,801092,801093,801711,801713,801712,801782,801783,801786,801784,801785,801765,801141,801769,801043,801962,801963,801961,801971,801131,801133,801132,801181,801183,801223,801764,801766,801767,801768,801045,801044,801881,801231,801991,801992,801142,801143,801995,801726,801721,801084,801086,801081,801083,801082,801032,801033,801034,801036,801037,801038,801039,801219,801104,801101,801102,801103,801154,801733,801731,801193,801191,801194,801216,801736,801737,801074,801076,801077,801072,801735,801218,801156,801155,801153,801152,801151,801738,801217,851731,850232,850233,850922,851631,852121,857662,851832,850936,850935,851122,851121,851941,850731,859951,851784,850816,857351,851543,850542,850543,850541,857451,850544,850545,851491,859512,859511,851413,850861,852041,850112,851831,851833,850344,850345,850346,850341,850343,851161,850114,851761,859633,859632,859631,852161,851931,857411,859831,850335,851116,851112,850741,850131,857851,851437,851436,851439,851438,851026,851027,851024,851025,850823,850822,850121,850122,851332,851333,851331,851233,851232,857236,851721,850951,850952,850381,850382,852131,851171,857671,857673,857672,857675,857674,857676,857121,857122,851151,851246,851247,852181,852182,852183,852184,850702,850703,852226,857344,850412,850551,850553,850552,850618,850616,851271,850617,857821,850174,850173,850172,852071,857352,857353,857243,850353,850351,857354,850355,850354,851619,851618,857355,850853,850854,850142,850181,850143,852171,859721,850913,852062,851534,850912,851532,851927,851926,851925,851924,851923,851922,850326,850324,850325,850322,850323,850321,852311,857421,850751,857661,851928,851522,857861,851512,850521,850522,850523,850815,857331,857334,857336,850137,850136,850135,851813,851325,851326,851242,851243,851241,851329,851328,851244,851141,850623,850784,851711,850782,850783,857641,850144,851133,857241,850339,857242,850338,850814,857111,857112,850817,850812,850813,852034,857244,851811,850818,852031,852032,852033,852214,851132,851142,852212,852213,850713,850711,850716,850364,851783,851782,851812,859611,851787,851786,851611,850715,850362,851612,850561,850562,850363,857374,857375,851565,851564,851563,859852,859851,851614,851617,851616,859931,857831,851282,851283,851281,851041,851042,850781,857371,851751,857681,857372,857251,851741,851544,850614,850615,859714,859711,859712,859713,850191,850924,850925,850926,852063,852061,850923,852141,851523,859812,851521,851524,850443,850442,850441,850336,850331,850333,850332,851131,857431,850728,850723,850721,850726,850727,850725,857323,857321,851412,850432,850431,850532,850531,851542,851312,851314,851315,851316,851317,851251,859853,851533,851562,850337,857373,858811,858812,857652,857651,851610,850154,850151,850152,857261,852021,859832,850372,851771,859621,859622,859811,852112,852111,851452,851451,859822,857362,857361,859821,850771,850772,857841,851426,851424,851425,851422,851423,859521,851511,850111,850113,857693,857692,857691,850832,850833,850831,851785,850841,857381,857382,857221
688776.XSHG,000404.XSHE,000593.XSHE,688668.XSHG,002852.XSHE,600882.XSHG,300523.XSHE,301026.XSHE,002209.XSHE,600971.XSHG,002919.XSHE,300425.XSHE,603329.XSHG,002641.XSHE,601838.XSHG,000703.XSHE,002762.XSHE,000718.XSHE,300002.XSHE,600128.XSHG,600881.XSHG,000625.XSHE,603499.XSHG,300621.XSHE,300782.XSHE,300773.XSHE,603585.XSHG,002841.XSHE,300108.XSHE,300129.XSHE,000709.XSHE,000888.XSHE,300810.XSHE,300101.XSHE,600760.XSHG,000519.XSHE,688282.XSHG,603899.XSHG,003032.XSHE,603486.XSHG,600060.XSHG,000921.XSHE,002614.XSHE,000404.XSHE,600261.XSHG,002508.XSHE,002743.XSHE,601888.XSHG,605136.XSHG,000829.XSHE,600790.XSHG,300892.XSHE,000988.XSHE,000593.XSHE,600116.XSHG,300621.XSHE,300982.XSHE,300951.XSHE,600354.XSHG,002299.XSHE,002548.XSHE,300094.XSHE,002852.XSHE,002679.XSHE,300119.XSHE,002556.XSHE,000869.XSHE,600882.XSHG,002216.XSHE,600809.XSHG,002695.XSHE,603317.XSHG,600988.XSHG,300224.XSHE,002240.XSHE,600459.XSHG,000878.XSHE,000967.XSHE,600792.XSHG,600971.XSHG,603238.XSHG,300896.XSHE,600035.XSHG,000626.XSHE,002094.XSHE,301039.XSHE,000625.XSHE,300825.XSHE,002355.XSHE,600883.XSHG,002641.XSHE,600586.XSHG,601939.XSHG,601916.XSHG,,601838.XSHG,601860.XSHG,300805.XSHE,603499.XSHG,301052.XSHE,601969.XSHG,300191.XSHE,000703.XSHE,600759.XSHG,300425.XSHE,600493.XSHG,002721.XSHE,002762.XSHE,000718.XSHE,002285.XSHE,300959.XSHE,002425.XSHE,601595.XSHG,603466.XSHG,,600117.XSHG,000709.XSHE,000017.XSHE,600881.XSHG,600029.XSHG,601326.XSHG,002631.XSHE,002521.XSHE,000665.XSHE,300492.XSHE,000628.XSHE,002449.XSHE,300236.XSHE,688396.XSHG,600563.XSHG,300868.XSHE,000949.XSHE,600277.XSHG,301065.XSHE,002522.XSHE,603033.XSHG,605033.XSHG,688300.XSHG,000610.XSHE,603927.XSHG,002268.XSHE,300710.XSHE,300523.XSHE,600511.XSHG,002518.XSHE,603489.XSHG,600999.XSHG,300773.XSHE,601318.XSHG,002858.XSHE,300129.XSHE,600478.XSHG,002960.XSHE,300923.XSHE,600031.XSHG,300371.XSHE,601865.XSHG,002751.XSHE,688076.XSHG,300108.XSHE,688289.XSHG,600739.XSHG,301075.XSHE,605222.XSHG,,600035.XSHG,600335.XSHG,300825.XSHE,603035.XSHG,000593.XSHE,000610.XSHE,300528.XSHE,000560.XSHE,300923.XSHE,300810.XSHE,002519.XSHE,600060.XSHG,601318.XSHG,300371.XSHE,000665.XSHE,603066.XSHG,688396.XSHG,601012.XSHG,301017.XSHE,000657.XSHE,002460.XSHE,600392.XSHG,300101.XSHE,000962.XSHE,601958.XSHG,301188.XSHE,600123.XSHG,600188.XSHG,600433.XSHG,300236.XSHE,000829.XSHE,600598.XSHG,603506.XSHG,,600063.XSHG,000949.XSHE,000782.XSHE,603332.XSHG,600409.XSHG,000404.XSHE,300970.XSHE,601866.XSHG,300839.XSHE,603353.XSHG,000703.XSHE,002858.XSHE,600999.XSHG,688282.XSHG,300896.XSHE,603823.XSHG,600983.XSHG,000333.XSHE,603489.XSHG,002679.XSHE,601860.XSHG,603818.XSHG,002918.XSHE,002790.XSHE,002631.XSHE,000032.XSHE,688418.XSHG,300710.XSHE,002491.XSHE,002138.XSHE,603920.XSHG,600097.XSHG,300094.XSHE,,600439.XSHG,002721.XSHE,000869.XSHE,000929.XSHE,300982.XSHE,600662.XSHG,002594.XSHE,000625.XSHE,300387.XSHE,002326.XSHE,000524.XSHE,002614.XSHE,300413.XSHE,000681.XSHE,,603533.XSHG,300987.XSHE,603466.XSHG,600586.XSHG,605006.XSHG,600261.XSHG,002216.XSHE,600381.XSHG,300662.XSHE,300572.XSHE,002751.XSHE,300962.XSHE,002528.XSHE,002268.XSHE,300523.XSHE,605222.XSHG,600117.XSHG,603876.XSHG,000758.XSHE,000878.XSHE,603378.XSHG,002641.XSHE,600189.XSHG,002271.XSHE,601939.XSHG,002505.XSHE,002299.XSHE,001201.XSHE,601888.XSHG,600732.XSHG,688390.XSHG,600970.XSHG,300644.XSHE,603722.XSHG,601865.XSHG,002522.XSHE,688585.XSHG,002616.XSHE,003816.XSHE,300776.XSHE,300866.XSHE,300951.XSHE,002548.XSHE,300119.XSHE,002311.XSHE,,000967.XSHE,600213.XSHG,300464.XSHE,300463.XSHE,301039.XSHE,600055.XSHG,000567.XSHE,300773.XSHE,000415.XSHE,000563.XSHE,002961.XSHE,600830.XSHG,600727.XSHG,002805.XSHE,000990.XSHE,600277.XSHG,000737.XSHE,000683.XSHE,600881.XSHG,600760.XSHG,002026.XSHE,601595.XSHG,,002252.XSHE,,301075.XSHE,300963.XSHE,300224.XSHE,688300.XSHG,688270.XSHG,600875.XSHG,002255.XSHE,300820.XSHE,603683.XSHG,002211.XSHE,605077.XSHG,600648.XSHG,002634.XSHE,603365.XSHG,603317.XSHG,600882.XSHG,002330.XSHE,002762.XSHE,002780.XSHE,,002508.XSHE,000628.XSHE,300400.XSHE,000088.XSHE,002184.XSHE,688025.XSHG,002425.XSHE,002891.XSHE,688793.XSHG,300517.XSHE,301065.XSHE,002469.XSHE,002054.XSHE,688049.XSHG,600801.XSHG,002671.XSHE,600584.XSHG,002079.XSHE,688126.XSHG,600790.XSHG,300117.XSHE,000718.XSHE,603690.XSHG,000715.XSHE,000759.XSHE,600694.XSHG,300571.XSHE,603486.XSHG,603366.XSHG,600804.XSHG,300310.XSHE,300080.XSHE,002685.XSHE,002884.XSHE,603650.XSHG,002769.XSHE,605050.XSHG,000608.XSHE,600759.XSHG,603569.XSHG,603713.XSHG,600863.XSHG,000530.XSHE,603033.XSHG,000993.XSHE,603799.XSHG,,002068.XSHE,688339.XSHG,605378.XSHG,000504.XSHE,300015.XSHE,300363.XSHE,003032.XSHE,600880.XSHG,605162.XSHG,601619.XSHG,000591.XSHE,,601916.XSHG,000716.XSHE,002695.XSHE,603719.XSHG,002322.XSHE,300768.XSHE,300024.XSHE,000049.XSHE,600009.XSHG,,688779.XSHG,300197.XSHE,600029.XSHG,,002043.XSHE,002225.XSHE,002205.XSHE,300385.XSHE,300425.XSHE,603588.XSHG,002556.XSHE,002355.XSHE,603239.XSHG,002813.XSHE,605136.XSHG,603613.XSHG,002283.XSHE,002186.XSHE,600739.XSHG,603059.XSHG,300108.XSHE,002038.XSHE,603878.XSHG,600126.XSHG,002110.XSHE,000408.XSHE,600423.XSHG,605033.XSHG,600096.XSHG,002403.XSHE,000519.XSHE,002960.XSHE,002890.XSHE,603337.XSHG,002209.XSHE,301013.XSHE,688121.XSHG,603556.XSHG,688330.XSHG,002067.XSHE,000629.XSHE,601969.XSHG,002716.XSHE,600988.XSHG,600511.XSHG,600493.XSHG,600987.XSHG,002674.XSHE,002722.XSHE,300979.XSHE,600809.XSHG,002841.XSHE,300595.XSHE,301060.XSHE,003002.XSHE,300457.XSHE,000017.XSHE,600818.XSHG,300336.XSHE,300805.XSHE,600979.XSHG,002286.XSHE,300175.XSHE,002852.XSHE,300492.XSHE,300892.XSHE,000615.XSHE,603041.XSHG,000557.XSHE,600871.XSHG,300191.XSHE,603238.XSHG,000888.XSHE,603136.XSHG,300329.XSHE,603899.XSHG,300957.XSHE,300129.XSHE,002202.XSHE,002094.XSHE,600817.XSHG,300718.XSHE,601838.XSHG,300501.XSHE,002014.XSHE,603499.XSHG,600836.XSHG,002374.XSHE,600792.XSHG,000756.XSHE,600354.XSHG,601118.XSHG,,601999.XSHG,300654.XSHE,002449.XSHE,002456.XSHE,002876.XSHE,600119.XSHG,300868.XSHE,300477.XSHE,002927.XSHE,300621.XSHE
300114.XSHE,600261.XSHG,600116.XSHG,603236.XSHG,600108.XSHG,603369.XSHG,300277.XSHE,002295.XSHE,000856.XSHE,601015.XSHG,301108.XSHE,603588.XSHG,002183.XSHE,002163.XSHE,601860.XSHG,600028.XSHG,600398.XSHG,000014.XSHE,600088.XSHG,600865.XSHG,000622.XSHE,002355.XSHE,603899.XSHG,601611.XSHG,300822.XSHE,600999.XSHG,000953.XSHE,300010.XSHE,688289.XSHG,605222.XSHG,001203.XSHE,000524.XSHE,600685.XSHG,688776.XSHG,002013.XSHE,300527.XSHE,600343.XSHG,300329.XSHE,002841.XSHE,603868.XSHG,002519.XSHE,600336.XSHG,300247.XSHE,002011.XSHE,002723.XSHE,603366.XSHG,002135.XSHE,,603613.XSHG,300022.XSHE,603682.XSHG,600058.XSHG,300400.XSHE,603689.XSHG,600025.XSHG,002781.XSHE,002628.XSHE,300433.XSHE,000713.XSHE,001201.XSHE,300673.XSHE,600097.XSHG,002286.XSHE,000592.XSHE,600201.XSHG,300021.XSHE,000929.XSHE,605300.XSHG,605338.XSHG,002646.XSHE,603719.XSHG,002507.XSHE,002716.XSHE,300748.XSHE,002466.XSHE,301026.XSHE,603876.XSHG,300631.XSHE,601015.XSHG,601001.XSHG,002919.XSHE,000615.XSHE,603069.XSHG,603066.XSHG,300957.XSHE,000951.XSHE,600733.XSHG,600335.XSHG,002434.XSHE,600326.XSHG,603378.XSHG,002613.XSHE,601398.XSHG,600015.XSHG,,002966.XSHE,600908.XSHG,600088.XSHG,003018.XSHE,601098.XSHG,001203.XSHE,600871.XSHG,600028.XSHG,000968.XSHE,603588.XSHG,600987.XSHG,605599.XSHG,600398.XSHG,000014.XSHE,603506.XSHG,600050.XSHG,300148.XSHE,300182.XSHE,300987.XSHE,,600399.XSHG,000959.XSHE,002105.XSHE,000622.XSHE,600009.XSHG,000507.XSHE,301188.XSHE,600356.XSHG,601929.XSHG,603357.XSHG,600248.XSHG,002876.XSHE,300054.XSHE,300782.XSHE,301099.XSHE,600288.XSHG,688722.XSHG,301069.XSHE,301090.XSHE,688718.XSHG,002068.XSHE,000893.XSHE,605086.XSHG,000721.XSHE,002987.XSHE,688619.XSHG,002902.XSHE,300277.XSHE,600713.XSHG,002366.XSHE,002892.XSHE,600095.XSHG,600901.XSHG,000627.XSHE,600136.XSHG,300690.XSHE,300014.XSHE,002209.XSHE,300851.XSHE,300201.XSHE,603912.XSHG,300111.XSHE,300662.XSHE,603882.XSHG,002198.XSHE,688105.XSHG,002038.XSHE,300558.XSHE,002441.XSHE,,000828.XSHE,600653.XSHG,605151.XSHG,002662.XSHE,603689.XSHG,601007.XSHG,002905.XSHE,002285.XSHE,300851.XSHE,600685.XSHG,688609.XSHG,000016.XSHE,000627.XSHE,300410.XSHE,601929.XSHG,002468.XSHE,300456.XSHE,002129.XSHE,603233.XSHG,002842.XSHE,000762.XSHE,600111.XSHG,688776.XSHG,600459.XSHG,603993.XSHG,603268.XSHG,600758.XSHG,601918.XSHG,002012.XSHE,300054.XSHE,300022.XSHE,601952.XSHG,002968.XSHE,,300876.XSHE,002254.XSHE,600810.XSHG,301057.XSHE,000420.XSHE,002011.XSHE,300972.XSHE,001205.XSHE,000819.XSHE,000159.XSHE,002493.XSHE,600136.XSHG,600095.XSHG,600343.XSHG,688363.XSHG,300522.XSHE,000521.XSHE,000651.XSHE,002892.XSHE,000592.XSHE,600908.XSHG,603610.XSHG,603221.XSHG,603408.XSHG,605268.XSHG,688027.XSHG,300183.XSHE,002902.XSHE,000586.XSHE,600563.XSHG,300814.XSHE,000798.XSHE,002069.XSHE,,600735.XSHG,605599.XSHG,002568.XSHE,600600.XSHG,002628.XSHE,002357.XSHE,,600733.XSHG,000902.XSHE,600378.XSHG,000796.XSHE,300247.XSHE,600640.XSHG,,,,002095.XSHE,,002613.XSHE,600176.XSHG,002723.XSHE,605338.XSHG,600530.XSHG,,603060.XSHG,600826.XSHG,301169.XSHE,300790.XSHE,002177.XSHE,300277.XSHE,601700.XSHG,600399.XSHG,002824.XSHE,000603.XSHE,601168.XSHG,603737.XSHG,002694.XSHE,605337.XSHG,300737.XSHE,601398.XSHG,600965.XSHG,002234.XSHE,000876.XSHE,,688599.XSHG,300763.XSHE,000065.XSHE,300586.XSHE,300610.XSHE,002623.XSHE,002341.XSHE,300487.XSHE,,601985.XSHG,688516.XSHG,688036.XSHG,300433.XSHE,603609.XSHG,600201.XSHG,001313.XSHE,,300631.XSHE,600303.XSHG,002315.XSHE,688075.XSHG,000951.XSHE,688277.XSHG,000532.XSHE,002316.XSHE,600901.XSHG,000666.XSHE,600927.XSHG,600061.XSHG,002145.XSHE,301069.XSHE,600623.XSHG,000635.XSHE,002053.XSHE,000707.XSHE,000622.XSHE,002013.XSHE,603915.XSHG,300182.XSHE,,300294.XSHE,,300558.XSHE,601137.XSHG,600366.XSHG,605086.XSHG,688601.XSHG,601727.XSHG,300105.XSHE,688551.XSHG,603681.XSHG,603155.XSHG,605016.XSHG,601512.XSHG,300591.XSHE,003041.XSHE,002507.XSHE,605300.XSHG,002726.XSHE,600398.XSHG,300005.XSHE,,605336.XSHG,600248.XSHG,603960.XSHG,601298.XSHG,603583.XSHG,688518.XSHG,300148.XSHE,300673.XSHE,603868.XSHG,002743.XSHE,603822.XSHG,601117.XSHG,301190.XSHE,300672.XSHE,000935.XSHE,605122.XSHG,002156.XSHE,300046.XSHE,003026.XSHE,603682.XSHG,603979.XSHG,000014.XSHE,002371.XSHE,002277.XSHE,002336.XSHE,600785.XSHG,300959.XSHE,688169.XSHG,002543.XSHE,600941.XSHG,300513.XSHE,300629.XSHE,688333.XSHG,603617.XSHG,300121.XSHE,002889.XSHE,600180.XSHG,000402.XSHE,000968.XSHE,002010.XSHE,002492.XSHE,600098.XSHG,600481.XSHG,300731.XSHE,600886.XSHG,600711.XSHG,,001207.XSHE,,301222.XSHE,688315.XSHG,600763.XSHG,688076.XSHG,605098.XSHG,002659.XSHE,002015.XSHE,600956.XSHG,601908.XSHG,,600015.XSHG,300973.XSHE,603517.XSHG,300783.XSHE,300379.XSHE,688095.XSHG,002747.XSHE,600478.XSHG,600004.XSHG,,300035.XSHE,603388.XSHG,000099.XSHE,,603038.XSHG,002066.XSHE,000068.XSHE,600292.XSHG,300961.XSHE,300854.XSHE,300021.XSHE,002725.XSHE,688021.XSHG,688533.XSHG,300792.XSHE,002024.XSHE,002434.XSHE,000721.XSHE,300841.XSHE,002919.XSHE,002198.XSHE,688687.XSHG,601686.XSHG,000932.XSHE,600231.XSHG,000893.XSHE,600691.XSHG,603585.XSHG,600470.XSHG,002242.XSHE,300527.XSHE,600894.XSHG,601038.XSHG,688789.XSHG,300442.XSHE,688596.XSHG,002483.XSHE,002857.XSHE,688681.XSHG,600963.XSHG,600295.XSHG,000923.XSHE,601212.XSHG,002155.XSHE,600713.XSHG,002042.XSHE,605055.XSHG,002003.XSHE,603055.XSHG,,002646.XSHE,300282.XSHE,301033.XSHE,300244.XSHE,002783.XSHE,300450.XSHE,002105.XSHE,603787.XSHG,300280.XSHE,600088.XSHG,600101.XSHG,600737.XSHG,600251.XSHG,300999.XSHE,603357.XSHG,600058.XSHG,,603192.XSHG,601816.XSHG,002629.XSHE,603727.XSHG,300888.XSHE,603199.XSHG,600706.XSHG,605080.XSHG,002301.XSHE,603630.XSHG,300690.XSHE,600416.XSHG,002243.XSHE,688425.XSHG,603638.XSHG,002966.XSHE,003003.XSHE,003018.XSHE,603687.XSHG,002599.XSHE,002701.XSHE,601015.XSHG,600216.XSHG,000713.XSHE,600540.XSHG,,301052.XSHE,000529.XSHE,600703.XSHG,688127.XSHG,605218.XSHG,601156.XSHG,600288.XSHG,600192.XSHG,300283.XSHE,002781.XSHE
603267.XSHG,000921.XSHE,600025.XSHG,300570.XSHE,603668.XSHG,605300.XSHG,603927.XSHG,603799.XSHG,301079.XSHE,601001.XSHG,688363.XSHG,300864.XSHE,600119.XSHG,603256.XSHG,601577.XSHG,600800.XSHG,300979.XSHE,000667.XSHE,300494.XSHE,000058.XSHE,000833.XSHE,002265.XSHE,603610.XSHG,600939.XSHG,300301.XSHE,600901.XSHG,301131.XSHE,000610.XSHE,688076.XSHG,600478.XSHG,000959.XSHE,603199.XSHG,600150.XSHG,300114.XSHE,688586.XSHG,600184.XSHG,600879.XSHG,301101.XSHE,300010.XSHE,002403.XSHE,000016.XSHE,000651.XSHE,603579.XSHG,002050.XSHE,603303.XSHG,605336.XSHG,603098.XSHG,,300792.XSHE,300622.XSHE,000715.XSHE,600710.XSHG,002184.XSHE,600681.XSHG,000862.XSHE,002830.XSHE,601611.XSHG,688260.XSHG,601118.XSHG,000876.XSHE,002891.XSHE,000798.XSHE,002481.XSHE,,603566.XSHG,,002568.XSHE,603711.XSHG,600381.XSHG,000995.XSHE,001219.XSHE,600186.XSHG,002155.XSHE,688269.XSHG,300618.XSHE,603993.XSHG,601168.XSHG,300140.XSHE,600725.XSHG,600121.XSHG,300888.XSHE,688363.XSHG,000755.XSHE,603329.XSHG,002243.XSHE,600006.XSHG,601127.XSHG,605151.XSHG,002265.XSHE,600678.XSHG,001212.XSHE,605006.XSHG,601988.XSHG,600036.XSHG,,601229.XSHG,603323.XSHG,300336.XSHE,002014.XSHE,603999.XSHG,600295.XSHG,603727.XSHG,600800.XSHG,600777.XSHG,300864.XSHE,300979.XSHE,600439.XSHG,002029.XSHE,000667.XSHE,002968.XSHE,000889.XSHE,300002.XSHE,002343.XSHE,000681.XSHE,,002443.XSHE,000898.XSHE,600818.XSHG,000833.XSHE,600004.XSHG,002320.XSHE,603610.XSHG,600966.XSHG,600637.XSHG,300564.XSHE,601668.XSHG,600703.XSHG,603931.XSHG,300672.XSHE,300460.XSHE,300736.XSHE,000782.XSHE,000737.XSHE,301036.XSHE,300487.XSHE,001207.XSHE,300505.XSHE,603688.XSHG,002186.XSHE,300380.XSHE,002177.XSHE,300502.XSHE,300399.XSHE,603368.XSHG,600405.XSHG,300626.XSHE,002500.XSHE,000532.XSHE,601336.XSHG,600158.XSHG,601218.XSHG,300750.XSHE,000856.XSHE,000927.XSHE,301079.XSHE,300179.XSHE,300763.XSHE,300572.XSHE,000504.XSHE,300026.XSHE,688606.XSHG,000534.XSHE,600216.XSHG,605196.XSHG,,000755.XSHE,601258.XSHG,000757.XSHE,600741.XSHG,600681.XSHG,000428.XSHE,002739.XSHE,002377.XSHE,000927.XSHE,600150.XSHG,000810.XSHE,600839.XSHG,601336.XSHG,300416.XSHE,600637.XSHG,002120.XSHE,688981.XSHG,600438.XSHG,600833.XSHG,600549.XSHG,002240.XSHE,000831.XSHE,300114.XSHE,301026.XSHE,603399.XSHG,603021.XSHG,600985.XSHG,600532.XSHG,002521.XSHE,603931.XSHG,300622.XSHE,,000056.XSHE,,688722.XSHG,002064.XSHE,605166.XSHG,002206.XSHE,600889.XSHG,002050.XSHE,300511.XSHE,601919.XSHG,601233.XSHG,600256.XSHG,600028.XSHG,600158.XSHG,002500.XSHE,600879.XSHG,,300758.XSHE,600336.XSHG,600854.XSHG,300626.XSHE,,603323.XSHG,600337.XSHG,603226.XSHG,603992.XSHG,000663.XSHE,603236.XSHG,600345.XSHG,300502.XSHE,000070.XSHE,002484.XSHE,300657.XSHE,,600467.XSHG,,,002574.XSHE,600059.XSHG,600573.XSHG,601611.XSHG,600650.XSHG,,601127.XSHG,002538.XSHE,002915.XSHE,002707.XSHE,603579.XSHG,,,,,300295.XSHE,,002163.XSHE,603256.XSHG,603303.XSHG,605089.XSHG,300146.XSHE,,603183.XSHG,002878.XSHE,,688619.XSHG,300508.XSHE,300399.XSHE,002879.XSHE,002443.XSHE,002160.XSHE,600338.XSHG,301217.XSHE,,603856.XSHG,000848.XSHE,300715.XSHE,601988.XSHG,,300967.XSHE,300498.XSHE,,002506.XSHE,300274.XSHE,000928.XSHE,002324.XSHE,300717.XSHE,002218.XSHE,688718.XSHG,002361.XSHE,,,603185.XSHG,688007.XSHG,688260.XSHG,000702.XSHE,603566.XSHG,603668.XSHG,,300140.XSHE,000957.XSHE,002803.XSHE,688067.XSHG,600006.XSHG,688580.XSHG,600053.XSHG,002647.XSHE,603300.XSHG,,603093.XSHG,000416.XSHE,002136.XSHE,300927.XSHE,600989.XSHG,600618.XSHG,002125.XSHE,000822.XSHE,000833.XSHE,688586.XSHG,300092.XSHE,002343.XSHE,,000403.XSHE,,603168.XSHG,300855.XSHE,300127.XSHE,603688.XSHG,300782.XSHE,600475.XSHG,600202.XSHG,002851.XSHE,002669.XSHE,600596.XSHG,002597.XSHE,600082.XSHG,300526.XSHE,002397.XSHE,600186.XSHG,002910.XSHE,002515.XSHE,002029.XSHE,,,002035.XSHE,601668.XSHG,300486.XSHE,002040.XSHE,300484.XSHE,688559.XSHG,300002.XSHE,,,002545.XSHE,300163.XSHE,002140.XSHE,603980.XSHG,688385.XSHG,000546.XSHE,002596.XSHE,002185.XSHE,300623.XSHE,600206.XSHG,300947.XSHE,603929.XSHG,000667.XSHE,688206.XSHG,600814.XSHG,002697.XSHE,600697.XSHG,300603.XSHE,605555.XSHG,603551.XSHG,600050.XSHG,002115.XSHE,300606.XSHE,688577.XSHG,301043.XSHE,,300873.XSHE,000626.XSHE,002305.XSHE,600777.XSHG,002682.XSHE,600794.XSHG,000899.XSHE,603912.XSHG,002224.XSHE,000722.XSHE,300618.XSHE,,002753.XSHE,,600847.XSHG,,002044.XSHE,300347.XSHE,300010.XSHE,,605580.XSHG,000862.XSHE,300317.XSHE,,600036.XSHG,605339.XSHG,,603777.XSHG,600602.XSHG,688561.XSHG,002979.XSHE,300116.XSHE,600897.XSHG,,300340.XSHE,300948.XSHE,002928.XSHE,,000619.XSHE,002392.XSHE,300958.XSHE,003027.XSHE,600769.XSHG,300867.XSHE,,603335.XSHG,605018.XSHG,603179.XSHG,002127.XSHE,,002265.XSHE,002306.XSHE,300601.XSHE,600249.XSHG,300026.XSHE,000661.XSHE,000778.XSHE,600581.XSHG,000717.XSHE,603938.XSHG,000953.XSHE,003042.XSHE,002895.XSHE,300272.XSHE,600184.XSHG,300669.XSHE,603789.XSHG,003036.XSHE,002611.XSHE,000856.XSHE,601608.XSHG,002546.XSHE,300490.XSHE,603165.XSHG,600516.XSHG,000655.XSHE,,002237.XSHE,603368.XSHG,000850.XSHE,600448.XSHG,002098.XSHE,605180.XSHG,,000995.XSHE,600636.XSHG,603987.XSHG,603108.XSHG,002096.XSHE,688155.XSHG,600679.XSHG,603766.XSHG,002027.XSHE,600358.XSHG,600116.XSHG,002481.XSHE,605198.XSHG,000019.XSHE,300564.XSHE,600710.XSHG,,301090.XSHE,600575.XSHG,002828.XSHE,300164.XSHE,003006.XSHE,002159.XSHE,002059.XSHE,002862.XSHE,301101.XSHE,600315.XSHG,601218.XSHG,601615.XSHG,300132.XSHE,000157.XSHE,301079.XSHE,601229.XSHG,603607.XSHG,002735.XSHE,002191.XSHE,000695.XSHE,002846.XSHE,600725.XSHG,300583.XSHE,002041.XSHE,600359.XSHG,,601949.XSHG,600757.XSHG,002745.XSHE,688079.XSHG,002765.XSHE,601598.XSHG,300736.XSHE,600379.XSHG,605066.XSHG,002830.XSHE
