,SC0001,SC0002,SC0003,SC0004,SC0005,SC0006,SC0007,SC0008,SC0009,SC0010,SC0011,SC0012,SC0013,SC0014,SC0015,SC0016,SC0017,SC0018,SC0019,SC0020,SC0021,SC0022,SC0023,SC0024,SC0025,SC0026,SC0027,SC0028,SC0029,SC0030,SC0031,SC0032,SC0033,SC0034,SC0035,SC0036,SC0037,SC0038,SC0039,SC0040,SC0041,SC0042,SC0043,SC0044,SC0045,SC0046,SC0047,SC0048,SC0049,SC0050,SC0051,SC0052,SC0053,SC0054,SC0055,SC0056,SC0057,SC0058,SC0059,SC0060,SC0061,SC0062,SC0063,SC0064,SC0065,SC0066,SC0067,SC0068,SC0069,SC0070,SC0071,SC0072,SC0073,SC0074,SC0075,SC0076,SC0077,SC0078,SC0079,SC0080,SC0081,SC0082,SC0083,SC0084,SC0085,SC0086,SC0087,SC0088,SC0089,SC0090,SC0091,SC0092,SC0093,SC0094,SC0095,SC0096,SC0097,SC0098,SC0099,SC0100,SC0101,SC0102,SC0103,SC0104,SC0105,SC0106,SC0107,SC0108,SC0109,SC0110,SC0111,SC0112,SC0113,SC0114,SC0115,SC0116,SC0117,SC0118,SC0119,SC0120,SC0121,SC0122,SC0123,SC0124,SC0125,SC0126,SC0127,SC0128,SC0129,SC0130,SC0131,SC0132,SC0133,SC0134,SC0135,SC0136,SC0137,SC0138,SC0139,SC0140,SC0141,SC0142,SC0143,SC0144,SC0145,SC0146,SC0147,SC0148,SC0149,SC0150,SC0151,SC0152,SC0153,SC0154,SC0155,SC0156,SC0157,SC0158,SC0159,SC0160,SC0161,SC0162,SC0163,SC0164,SC0165,SC0166,SC0167,SC0168,SC0169,SC0170,SC0171,SC0172,SC0173,SC0174,SC0175,SC0176,SC0177,SC0178,SC0179,SC0180,SC0181,SC0182,SC0183,SC0184,SC0185,SC0186,SC0187,SC0188,SC0189,SC0190,SC0191,SC0192,SC0193,SC0194,SC0195,SC0196,SC0197,SC0198,SC0199,SC0200,SC0201,SC0202,SC0203,SC0204,SC0205,SC0206,SC0207,SC0208,SC0209,SC0210,SC0211,SC0212,SC0213,SC0214,SC0215,SC0216,SC0217,SC0218,SC0219,SC0220,SC0221,SC0222,SC0223,SC0224,SC0225,SC0226,SC0227,SC0228,SC0229,SC0230,SC0231,SC0232,SC0233,SC0234,SC0235,SC0236,SC0237,SC0238,SC0239,SC0240,SC0241,SC0242,SC0243,SC0244,SC0245,SC0246,SC0247,SC0248,SC0249,SC0250,SC0251,SC0252,SC0253,SC0254,SC0255,SC0256,SC0257,SC0258,SC0259,SC0260,SC0261,SC0262,SC0263,SC0264,SC0265,SC0266,SC0267,SC0268,SC0269,SC0270,SC0271,SC0272,SC0273,SC0274,SC0275,SC0287
0,002631.XSHE,000703.XSHE,600398.XSHG,000681.XSHE,300782.XSHE,002425.XSHE,300710.XSHE,600602.XSHG,000625.XSHE,300399.XSHE,002425.XSHE,300371.XSHE,002841.XSHE,603499.XSHG,300477.XSHE,002316.XSHE,000625.XSHE,002449.XSHE,300433.XSHE,688396.XSHG,300773.XSHE,000625.XSHE,000625.XSHE,300433.XSHE,002268.XSHE,002139.XSHE,600571.XSHG,002161.XSHE,002177.XSHE,002841.XSHE,301013.XSHE,002316.XSHE,300687.XSHE,002268.XSHE,600662.XSHG,600648.XSHG,603882.XSHG,600986.XSHG,603899.XSHG,601118.XSHG,000759.XSHE,605222.XSHG,002662.XSHE,002662.XSHE,000625.XSHE,688333.XSHG,002355.XSHE,300433.XSHE,688333.XSHG,000703.XSHE,002960.XSHE,603927.XSHG,002209.XSHE,300463.XSHE,688396.XSHG,000625.XSHE,300523.XSHE,002361.XSHE,600336.XSHG,603912.XSHG,002268.XSHE,300014.XSHE,002449.XSHE,300236.XSHE,300523.XSHE,300236.XSHE,002316.XSHE,002841.XSHE,600055.XSHG,002230.XSHE,002316.XSHE,002230.XSHE,002230.XSHE,300379.XSHE,301013.XSHE,300773.XSHE,300750.XSHE,002100.XSHE,600739.XSHG,600881.XSHG,002299.XSHE,600126.XSHG,600459.XSHG,300129.XSHE,300425.XSHE,002184.XSHE,688021.XSHG,300425.XSHE,002090.XSHE,300864.XSHE,002743.XSHE,600088.XSHG,002425.XSHE,600739.XSHG,000703.XSHE,300148.XSHE,600648.XSHG,000070.XSHE,600031.XSHG,300810.XSHE,002265.XSHE,600561.XSHG,600031.XSHG,603899.XSHG,300782.XSHE,002641.XSHE,300923.XSHE,002316.XSHE,002762.XSHE,600739.XSHG,300277.XSHE,002719.XSHE,300015.XSHE,605222.XSHG,600098.XSHG,002481.XSHE,000709.XSHE,300621.XSHE,000967.XSHE,002631.XSHE,002762.XSHE,000902.XSHE,600218.XSHG,000626.XSHE,002002.XSHE,000902.XSHE,300710.XSHE,600881.XSHG,000558.XSHE,002915.XSHE,000703.XSHE,600565.XSHG,603882.XSHG,300108.XSHE,000756.XSHE,000593.XSHE,000153.XSHE,300433.XSHE,000756.XSHE,000593.XSHE,600739.XSHG,600277.XSHG,600126.XSHG,000878.XSHE,300224.XSHE,000993.XSHE,600648.XSHG,600821.XSHG,600648.XSHG,600657.XSHG,002982.XSHE,300498.XSHE,002355.XSHE,600186.XSHG,600356.XSHG,600354.XSHG,000713.XSHE,002355.XSHE,603369.XSHG,600882.XSHG,603076.XSHG,600971.XSHG,000878.XSHE,300477.XSHE,688718.XSHG,301035.XSHE,600727.XSHG,300890.XSHE,603993.XSHG,000703.XSHE,600881.XSHG,002685.XSHE,002631.XSHE,688396.XSHG,600741.XSHG,000878.XSHE,000593.XSHE,300638.XSHE,600886.XSHG,600493.XSHG,002355.XSHE,300979.XSHE,002355.XSHE,002355.XSHE,600354.XSHG,603899.XSHG,603899.XSHG,300621.XSHE,300191.XSHE,,603369.XSHG,600119.XSHG,002042.XSHE,300638.XSHE,600863.XSHG,002268.XSHE,603369.XSHG,300197.XSHE,600871.XSHG,600790.XSHG,300621.XSHE,600095.XSHG,002641.XSHE,300758.XSHE,600586.XSHG,600481.XSHG,002355.XSHE,002316.XSHE,002530.XSHE,000610.XSHE,300710.XSHE,603822.XSHG,002230.XSHE,300317.XSHE,300054.XSHE,000625.XSHE,002283.XSHE,600459.XSHG,002355.XSHE,002546.XSHE,000671.XSHE,300717.XSHE,603823.XSHG,688289.XSHG,688396.XSHG,600584.XSHG,002425.XSHE,601678.XSHG,002026.XSHE,,002264.XSHE,600478.XSHG,000519.XSHE,603105.XSHG,002026.XSHE,688396.XSHG,002216.XSHE,300463.XSHE,300148.XSHE,003002.XSHE,002322.XSHE,600378.XSHG,002587.XSHE,002178.XSHE,600956.XSHG,600478.XSHG,002268.XSHE,000625.XSHE,300463.XSHE,600804.XSHG,002141.XSHE,600206.XSHG,600602.XSHG,300730.XSHE,688385.XSHG,002362.XSHE,002038.XSHE,601118.XSHG,000756.XSHE,002898.XSHE,002768.XSHE,002355.XSHE,000548.XSHE,300334.XSHE,002762.XSHE,300546.XSHE,300387.XSHE,301026.XSHE,600459.XSHG,002268.XSHE,002230.XSHE,300730.XSHE,000049.XSHE,600354.XSHG,002015.XSHE,002463.XSHE
1,000532.XSHE,600398.XSHG,000016.XSHE,600166.XSHG,603912.XSHG,000070.XSHE,002878.XSHE,688619.XSHG,002355.XSHE,002987.XSHE,300148.XSHE,300523.XSHE,300010.XSHE,688396.XSHG,002546.XSHE,002184.XSHE,600563.XSHG,600703.XSHG,603256.XSHG,603286.XSHG,002316.XSHE,002841.XSHE,002355.XSHE,605218.XSHG,300773.XSHE,600330.XSHG,300292.XSHE,300479.XSHE,300386.XSHE,300782.XSHE,300951.XSHE,300494.XSHE,002184.XSHE,300773.XSHE,603099.XSHG,600790.XSHG,600336.XSHG,002105.XSHE,002762.XSHE,002697.XSHE,002695.XSHE,002441.XSHE,600478.XSHG,688533.XSHG,688518.XSHG,301033.XSHE,300782.XSHE,605218.XSHG,600760.XSHG,002355.XSHE,603286.XSHG,603660.XSHG,002184.XSHE,002038.XSHE,603690.XSHG,002662.XSHE,300002.XSHE,002886.XSHE,688606.XSHG,300494.XSHE,002177.XSHE,300462.XSHE,600703.XSHG,300054.XSHE,002316.XSHE,002841.XSHE,002184.XSHE,603610.XSHG,300253.XSHE,002681.XSHE,300101.XSHE,300007.XSHE,300440.XSHE,002316.XSHE,300014.XSHE,600739.XSHG,300253.XSHE,600557.XSHG,002038.XSHE,000078.XSHE,600602.XSHG,002135.XSHE,300203.XSHE,002184.XSHE,603588.XSHG,600116.XSHG,600116.XSHG,603588.XSHG,603817.XSHG,603778.XSHG,601668.XSHG,300494.XSHE,300494.XSHE,000610.XSHE,300523.XSHE,000681.XSHE,600602.XSHG,000014.XSHE,002184.XSHE,300850.XSHE,600166.XSHG,300719.XSHE,002361.XSHE,688289.XSHG,300979.XSHE,000593.XSHE,002361.XSHE,601700.XSHG,000921.XSHE,300148.XSHE,300525.XSHE,002100.XSHE,000908.XSHE,601611.XSHG,300191.XSHE,300631.XSHE,000856.XSHE,300371.XSHE,002244.XSHE,601865.XSHG,600398.XSHG,002277.XSHE,002448.XSHE,300387.XSHE,300158.XSHE,600543.XSHG,300494.XSHE,300979.XSHE,002701.XSHE,601678.XSHG,002662.XSHE,603610.XSHG,600055.XSHG,688076.XSHG,600511.XSHG,600422.XSHG,300558.XSHE,002825.XSHE,002038.XSHE,601015.XSHG,600028.XSHG,300717.XSHE,600307.XSHG,600459.XSHG,600478.XSHG,000753.XSHE,600097.XSHG,000897.XSHE,002320.XSHE,601700.XSHG,002299.XSHE,002330.XSHE,002038.XSHE,000895.XSHE,603058.XSHG,601118.XSHG,600596.XSHG,300951.XSHE,002646.XSHE,300498.XSHE,000929.XSHE,601015.XSHG,600987.XSHG,000622.XSHE,300487.XSHE,600596.XSHG,002145.XSHE,600792.XSHG,300610.XSHE,601118.XSHG,600883.XSHG,601866.XSHG,300054.XSHE,002449.XSHE,600028.XSHG,600288.XSHG,600061.XSHG,300505.XSHE,603909.XSHG,000622.XSHE,688289.XSHG,688076.XSHG,600739.XSHG,300467.XSHE,000504.XSHE,600999.XSHG,600085.XSHG,300371.XSHE,300072.XSHE,,002425.XSHE,002494.XSHE,600368.XSHG,002316.XSHE,600452.XSHG,600050.XSHG,002209.XSHE,002135.XSHE,600028.XSHG,600318.XSHG,000671.XSHE,600356.XSHG,600330.XSHG,002440.XSHE,300117.XSHE,300425.XSHE,002434.XSHE,300002.XSHE,600770.XSHG,000721.XSHE,600050.XSHG,000826.XSHE,000788.XSHE,300940.XSHE,600703.XSHG,300129.XSHE,600760.XSHG,603906.XSHG,688289.XSHG,600481.XSHG,600741.XSHG,600800.XSHG,300890.XSHE,300425.XSHE,300672.XSHE,002156.XSHE,300433.XSHE,000818.XSHE,300508.XSHE,,600777.XSHG,002139.XSHE,600172.XSHG,601619.XSHG,002015.XSHE,603286.XSHG,000721.XSHE,688075.XSHG,002059.XSHE,002783.XSHE,600186.XSHG,603379.XSHG,605178.XSHG,603199.XSHG,300712.XSHE,300750.XSHE,300002.XSHE,002355.XSHE,000756.XSHE,002425.XSHE,300119.XSHE,600763.XSHG,300730.XSHE,300387.XSHE,301099.XSHE,002952.XSHE,600055.XSHG,002163.XSHE,002038.XSHE,000532.XSHE,300777.XSHE,688288.XSHG,600048.XSHG,603408.XSHG,002067.XSHE,300479.XSHE,000902.XSHE,002645.XSHE,603799.XSHG,300379.XSHE,300290.XSHE,002902.XSHE,002047.XSHE,000713.XSHE,600968.XSHG,002916.XSHE
2,000510.XSHE,002139.XSHE,002517.XSHE,300336.XSHE,600166.XSHG,000977.XSHE,605136.XSHG,300523.XSHE,600335.XSHG,002437.XSHE,600173.XSHG,300672.XSHE,300002.XSHE,002184.XSHE,300002.XSHE,603912.XSHG,600510.XSHG,300410.XSHE,000823.XSHE,688533.XSHG,300002.XSHE,603690.XSHG,603035.XSHG,002765.XSHE,600050.XSHG,300866.XSHE,002197.XSHE,300248.XSHE,300884.XSHE,300433.XSHE,300400.XSHE,601318.XSHG,300730.XSHE,002177.XSHE,600611.XSHG,300868.XSHE,603066.XSHG,600818.XSHG,600398.XSHG,002163.XSHE,601366.XSHG,600405.XSHG,000593.XSHE,605222.XSHG,300035.XSHE,002886.XSHE,603690.XSHG,000536.XSHE,601163.XSHG,300773.XSHE,688396.XSHG,300380.XSHE,300002.XSHE,300558.XSHE,300672.XSHE,600478.XSHG,603927.XSHG,603660.XSHG,688068.XSHG,603927.XSHG,300386.XSHE,601163.XSHG,000016.XSHE,603690.XSHG,300002.XSHE,300773.XSHE,300201.XSHE,300433.XSHE,300884.XSHE,603626.XSHG,603357.XSHG,600355.XSHG,300007.XSHE,300717.XSHE,300433.XSHE,600108.XSHG,600865.XSHG,002124.XSHE,603392.XSHG,000950.XSHE,600288.XSHG,002244.XSHE,300165.XSHE,300208.XSHE,688178.XSHG,300208.XSHE,603588.XSHG,000016.XSHE,300140.XSHE,002549.XSHE,002135.XSHE,000718.XSHE,002131.XSHE,002184.XSHE,601611.XSHG,300229.XSHE,600649.XSHG,000058.XSHE,600336.XSHG,002483.XSHE,300680.XSHE,600219.XSHG,300201.XSHE,600999.XSHG,000718.XSHE,601668.XSHG,600379.XSHG,000070.XSHE,600336.XSHG,300002.XSHE,603799.XSHG,603227.XSHG,600993.XSHG,300489.XSHE,600871.XSHG,300381.XSHE,600082.XSHG,000593.XSHE,601098.XSHG,603105.XSHG,300979.XSHE,300413.XSHE,603767.XSHG,000902.XSHE,600708.XSHG,600108.XSHG,002602.XSHE,002264.XSHE,300355.XSHE,002407.XSHE,301026.XSHE,001979.XSHE,300015.XSHE,300558.XSHE,300146.XSHE,600332.XSHG,300015.XSHE,301131.XSHE,002584.XSHE,603689.XSHG,300471.XSHE,600309.XSHG,000708.XSHE,300340.XSHE,300748.XSHE,600802.XSHG,002244.XSHE,600082.XSHG,601228.XSHG,601177.XSHG,000876.XSHE,002726.XSHE,300487.XSHE,000990.XSHE,300195.XSHE,600543.XSHG,002041.XSHE,300014.XSHE,000995.XSHE,002505.XSHE,300892.XSHE,601001.XSHG,603993.XSHG,603993.XSHG,300014.XSHE,000553.XSHE,002386.XSHE,600019.XSHG,300505.XSHE,300717.XSHE,600326.XSHG,601919.XSHG,301013.XSHE,600703.XSHG,601668.XSHG,002926.XSHE,000666.XSHE,300458.XSHE,002331.XSHE,000416.XSHE,300782.XSHE,301079.XSHE,600872.XSHG,300290.XSHE,002077.XSHE,300782.XSHE,000568.XSHE,300505.XSHE,002469.XSHE,,300163.XSHE,600180.XSHG,000876.XSHE,300494.XSHE,002039.XSHE,300768.XSHE,600336.XSHG,000631.XSHE,000985.XSHE,000858.XSHE,002584.XSHE,000692.XSHE,000778.XSHE,002099.XSHE,002620.XSHE,300197.XSHE,600031.XSHG,000066.XSHE,300525.XSHE,600706.XSHG,000070.XSHE,000601.XSHE,601901.XSHG,300410.XSHE,300433.XSHE,300450.XSHE,600031.XSHG,300072.XSHE,300782.XSHE,002015.XSHE,002184.XSHE,300386.XSHE,300750.XSHE,301079.XSHE,600703.XSHG,300726.XSHE,300860.XSHE,,300083.XSHE,,600158.XSHG,600216.XSHG,002046.XSHE,600863.XSHG,002334.XSHE,300433.XSHE,000876.XSHE,688289.XSHG,300413.XSHE,002096.XSHE,300197.XSHE,600160.XSHG,301091.XSHE,000524.XSHE,688676.XSHG,002009.XSHE,002104.XSHE,301013.XSHE,002898.XSHE,300148.XSHE,300841.XSHE,300285.XSHE,300002.XSHE,000902.XSHE,300458.XSHE,000725.XSHE,300730.XSHE,002320.XSHE,300026.XSHE,000507.XSHE,600516.XSHG,002055.XSHE,603506.XSHG,300070.XSHE,300010.XSHE,300663.XSHE,000953.XSHE,603588.XSHG,002149.XSHE,300687.XSHE,300096.XSHE,300229.XSHE,002508.XSHE,002041.XSHE,000993.XSHE,002436.XSHE
3,002632.XSHE,300251.XSHE,300027.XSHE,002045.XSHE,600405.XSHG,000676.XSHE,000829.XSHE,300014.XSHE,002448.XSHE,300380.XSHE,002555.XSHE,002316.XSHE,603660.XSHG,300002.XSHE,300201.XSHE,000066.XSHE,601608.XSHG,600261.XSHG,300602.XSHE,300433.XSHE,300208.XSHE,300002.XSHE,002448.XSHE,002517.XSHE,002316.XSHE,300083.XSHE,688369.XSHG,002697.XSHE,603660.XSHG,300735.XSHE,002768.XSHE,603133.XSHG,300458.XSHE,300386.XSHE,002627.XSHE,300492.XSHE,601228.XSHG,600679.XSHG,002316.XSHE,002277.XSHE,002563.XSHE,300648.XSHE,300201.XSHE,300433.XSHE,300450.XSHE,300521.XSHE,300002.XSHE,002845.XSHE,300263.XSHE,002316.XSHE,300782.XSHE,300830.XSHE,300201.XSHE,603882.XSHG,600703.XSHG,002448.XSHE,000066.XSHE,600316.XSHG,000963.XSHE,000066.XSHE,000977.XSHE,300445.XSHE,605218.XSHG,688596.XSHG,300884.XSHE,300433.XSHE,300277.XSHE,600336.XSHG,300439.XSHE,300857.XSHE,002152.XSHE,002241.XSHE,002178.XSHE,600035.XSHG,002139.XSHE,600705.XSHG,601108.XSHG,002118.XSHE,688276.XSHG,300267.XSHE,300410.XSHE,600496.XSHG,300884.XSHE,000862.XSHE,300140.XSHE,002886.XSHE,688087.XSHG,601015.XSHG,002246.XSHE,000993.XSHE,600510.XSHG,002517.XSHE,002799.XSHE,300002.XSHE,000610.XSHE,603999.XSHG,600741.XSHG,002183.XSHE,300201.XSHE,000066.XSHE,002300.XSHE,600038.XSHG,300114.XSHE,600116.XSHG,002064.XSHE,600939.XSHG,000032.XSHE,688681.XSHG,000016.XSHE,002330.XSHE,000720.XSHE,002307.XSHE,603168.XSHG,688239.XSHG,600028.XSHG,000930.XSHE,601326.XSHG,603098.XSHG,600708.XSHG,601611.XSHG,300783.XSHE,002556.XSHE,000570.XSHE,600598.XSHG,600108.XSHG,000735.XSHE,002517.XSHE,600814.XSHG,002415.XSHE,000830.XSHE,600478.XSHG,002349.XSHE,300253.XSHE,300142.XSHE,600993.XSHG,600216.XSHG,300595.XSHE,002886.XSHE,300078.XSHE,300471.XSHE,002353.XSHE,601678.XSHG,000709.XSHE,600121.XSHG,002002.XSHE,000905.XSHE,600009.XSHG,600800.XSHG,603329.XSHG,601688.XSHG,300498.XSHE,002982.XSHE,002750.XSHE,002481.XSHE,300741.XSHE,300158.XSHE,600313.XSHG,300433.XSHE,603919.XSHG,002557.XSHE,600600.XSHG,600121.XSHG,601168.XSHG,301219.XSHE,601168.XSHG,603077.XSHG,603826.XSHG,002753.XSHE,000902.XSHE,600309.XSHG,600678.XSHG,000507.XSHE,002876.XSHE,002902.XSHE,600309.XSHG,600061.XSHG,000828.XSHE,300650.XSHE,000009.XSHE,000953.XSHE,688076.XSHG,301131.XSHE,300035.XSHE,603066.XSHG,000737.XSHE,600398.XSHG,600104.XSHG,300268.XSHE,002408.XSHE,,600186.XSHG,600546.XSHG,002402.XSHE,300229.XSHE,600163.XSHG,688027.XSHG,300399.XSHE,600858.XSHG,000554.XSHE,002095.XSHE,600872.XSHG,000661.XSHE,002518.XSHE,600352.XSHG,000619.XSHE,603588.XSHG,300923.XSHE,002090.XSHE,000997.XSHE,600665.XSHG,603083.XSHG,300040.XSHE,600661.XSHG,300566.XSHE,600330.XSHG,000862.XSHE,600481.XSHG,300912.XSHE,688076.XSHG,002733.XSHE,600009.XSHG,002049.XSHE,002340.XSHE,603912.XSHG,002180.XSHE,002371.XSHE,688609.XSHG,,002903.XSHE,,000735.XSHE,600405.XSHG,301071.XSHE,002015.XSHE,300141.XSHE,300114.XSHE,300094.XSHE,603392.XSHG,300500.XSHE,300722.XSHE,002002.XSHE,300343.XSHE,002654.XSHE,002558.XSHE,600268.XSHG,002733.XSHE,300352.XSHE,003021.XSHE,603392.XSHG,300113.XSHE,600201.XSHG,002690.XSHE,300075.XSHE,300525.XSHE,603501.XSHG,300400.XSHE,300026.XSHE,000505.XSHE,000908.XSHE,000659.XSHE,000969.XSHE,300458.XSHE,600748.XSHG,300899.XSHE,300096.XSHE,300579.XSHE,002556.XSHE,002340.XSHE,600598.XSHG,300730.XSHE,600684.XSHG,300250.XSHE,603816.XSHG,600313.XSHG,000591.XSHE,002579.XSHE
4,002886.XSHE,000639.XSHE,603887.XSHG,300456.XSHE,300057.XSHE,002803.XSHE,300612.XSHE,600565.XSHG,300458.XSHE,300079.XSHE,300250.XSHE,300002.XSHE,300297.XSHE,300201.XSHE,300360.XSHE,600405.XSHG,002480.XSHE,002632.XSHE,002947.XSHE,002448.XSHE,603927.XSHG,002139.XSHE,000951.XSHE,300251.XSHE,002647.XSHE,000969.XSHE,002137.XSHE,300220.XSHE,688039.XSHG,300230.XSHE,002241.XSHE,300272.XSHE,000977.XSHE,300468.XSHE,002368.XSHE,002697.XSHE,600511.XSHG,603776.XSHG,003016.XSHE,001979.XSHE,603708.XSHG,000601.XSHE,300505.XSHE,605218.XSHG,603799.XSHG,600114.XSHG,603912.XSHG,300057.XSHE,002013.XSHE,300002.XSHE,300672.XSHE,300182.XSHE,002139.XSHE,000908.XSHE,002745.XSHE,002825.XSHE,000034.XSHE,300079.XSHE,688161.XSHG,300383.XSHE,300083.XSHE,603358.XSHG,002745.XSHE,300458.XSHE,600166.XSHG,300083.XSHE,300208.XSHE,000016.XSHE,300146.XSHE,300458.XSHE,300114.XSHE,002990.XSHE,601668.XSHG,002049.XSHE,300866.XSHE,002670.XSHE,300674.XSHE,600222.XSHG,002099.XSHE,002030.XSHE,300783.XSHE,600477.XSHG,002781.XSHE,000155.XSHE,002340.XSHE,300450.XSHE,300680.XSHE,002353.XSHE,002340.XSHE,600039.XSHG,000667.XSHE,300251.XSHE,300058.XSHE,600336.XSHG,600031.XSHG,300386.XSHE,600097.XSHG,002528.XSHE,002448.XSHE,601890.XSHG,600316.XSHG,600316.XSHG,000066.XSHE,603588.XSHG,002001.XSHE,000826.XSHE,600808.XSHG,002498.XSHE,600839.XSHG,300244.XSHE,600219.XSHG,000159.XSHE,600829.XSHG,000899.XSHE,000039.XSHE,,000959.XSHE,300107.XSHE,000667.XSHE,603822.XSHG,600976.XSHG,300212.XSHE,000157.XSHE,002513.XSHE,002556.XSHE,002183.XSHE,300336.XSHE,002768.XSHE,300005.XSHE,002004.XSHE,605068.XSHG,002551.XSHE,300404.XSHE,300583.XSHE,300151.XSHE,002001.XSHE,000908.XSHE,000779.XSHE,300583.XSHE,002353.XSHE,002490.XSHE,002068.XSHE,600117.XSHG,002176.XSHE,600330.XSHG,600033.XSHG,688099.XSHG,000965.XSHE,601018.XSHG,600163.XSHG,002234.XSHE,002100.XSHE,300165.XSHE,002303.XSHE,600433.XSHG,600108.XSHG,002385.XSHE,002723.XSHE,600197.XSHG,300858.XSHE,600573.XSHG,000723.XSHE,600128.XSHG,002009.XSHE,603799.XSHG,002004.XSHE,603067.XSHG,300077.XSHE,002556.XSHE,600281.XSHG,600970.XSHG,002320.XSHE,300400.XSHE,600330.XSHG,601939.XSHG,000416.XSHE,600865.XSHG,300575.XSHE,002490.XSHE,600696.XSHG,301079.XSHE,603048.XSHG,300251.XSHE,300183.XSHE,000953.XSHE,002064.XSHE,002594.XSHE,300277.XSHE,000637.XSHE,,002697.XSHE,600278.XSHG,600712.XSHG,300496.XSHE,000993.XSHE,000066.XSHE,002594.XSHE,000918.XSHE,000617.XSHE,002215.XSHE,600004.XSHG,600598.XSHG,000058.XSHE,300067.XSHE,002789.XSHE,002059.XSHE,002361.XSHE,300182.XSHE,600271.XSHG,300103.XSHE,300408.XSHE,300614.XSHE,300597.XSHE,600330.XSHG,002049.XSHE,002594.XSHE,601608.XSHG,601965.XSHG,301079.XSHE,300360.XSHE,300146.XSHE,002229.XSHE,600216.XSHG,301131.XSHE,603986.XSHG,300079.XSHE,300413.XSHE,,688558.XSHG,,600692.XSHG,000155.XSHE,300179.XSHE,600116.XSHG,300693.XSHE,603501.XSHG,605338.XSHG,603882.XSHG,603808.XSHG,688601.XSHG,300387.XSHE,603659.XSHG,301002.XSHE,000917.XSHE,300040.XSHE,300618.XSHE,300768.XSHE,002886.XSHE,603882.XSHG,688158.XSHG,603566.XSHG,002622.XSHE,002368.XSHE,600936.XSHG,603986.XSHG,300923.XSHE,300015.XSHE,603069.XSHG,002099.XSHE,300681.XSHE,300719.XSHE,002232.XSHE,603682.XSHG,600336.XSHG,300279.XSHE,603636.XSHG,000830.XSHE,000546.XSHE,688268.XSHG,300386.XSHE,300253.XSHE,300525.XSHE,000918.XSHE,300189.XSHE,600039.XSHG,300739.XSHE
